Rote-Linsen-Burger (1);1;Fast Food;375;41,6;16,2;14,4;true;true
Pho ga Instant Nudeln;2;Fertiggericht;394;77,0;7,3;5,9;true;true
Pommes mit Harrisa Falafeln;3;Fast Food;649;97,1;21,3;14,2;true;true
Nudeln mit Sonnenblumenhack in Ketchupsoße;4;Klassisch;655;117,8;24,8;7,4;true;true
Onigiri (3 Stück);5;Klassisch;700;138,0;15,0;8,9;true;true
Rote-Linsen-Kidneybohnen-Bratlinge (2) mit Pommes;6;Klassisch;723;111,9;30,7;11,5;true;true
Baguette mit Veggie Sloppy Joe Soße aus Sojahack;7;Fast Food;759;92,9;35,1;23,2;true;true
Linsen Bolognese;8;Klassisch;788;129,0;33,6;12,2;true;true
Penne Arrabiata;9;Klassisch;791;103,3;56,9;16,0;true;true
Falafeln (8) mit Pommes;10;Fast Food;881;121,9;21,7;30,0;true;true
panierter Tofu mit Salat;11;Klassisch;829;51,5;36,8;50,8;true;true
Chili sin Carne mit Sojahack und Pommes;12;Klassisch;935;129,8;52,0;15,4;true;true
Chili sin Carne mit Sojahack und Brot;13;One-Pot;411;69,0;21,4;2,7;true;true
Rote Linsensuppe mit Brot;14;One-Pot;740;126,4;35,2;3,2;true;true
Mediterranes Ofengemüse;15;Auflauf;666;35,3;43,2;36,0;true;true
Kichererbsen Nuggets mit Pommes;16;Klassisch;745;121,1;33,0;26,8;true;true
Veganer Hackbraten;17;Klassisch;489;60,9;10,1;21,5;true;true
Nudeln in veganer Toskana-Sahnesoße mit Paprika;18;One-Pot;971;135,1;38,1;26,1;true;true
Chili Con Veggie Auflauf mit Tortillas;19;Auflauf;562;87,1;24,7;9,6;true;true
Kartoffeln mit Spinat und Spiegelei;20;Klassisch;423;27,3;23,7;23,4;true;false
Bandnudeln mit Spinat und Spiegelei;21;Klassisch;635;80,1;30,6;20,4;true;false
Bratkartoffeln mit Ei;22;One-Pot;637;43,3;28,6;37,7;true;false
Tofu-Gyros mit Pommes und Zaziki;23;Fast Food;641;34,5;20,0;26,3;true;true
Spaghetti mit Pesto;24;Klassisch;696;84,7;10,2;34,4;true;true
Langos (2);25;Klassisch;660;98,0;9,7;42,5;true;true
Mi Goreng Instant-Nudeln ;26;Fertiggericht;376;49,6;9,8;14,9;true;false
Bärlauchsuppe mit Brot;27;One-Pot;432;60,8;9,0;15,8;true;false
Saucy Ramennudeln mit Sesamsaat;28;Klassisch;480;92,1;17,2;11,0;true;false
Eierkuchen/Pfannkuchen;29;Süßspeise;605;85,7;26,0;16,2;true;false
BurgerKing Halloumi King;30;Fast Food;627;42,7;23,6;40,0;true;false
Crepes mit Nutella;31;Süßspeise;711;98,6;26,8;21,1;true;false
Hefeklöße mit Heidelbeeren und Butter;32;Klassisch;740;119,0;16,7;21,4;true;false
Kaiserschmarrn;33;Süßspeise;756;83,5;24,4;35,9;true;false
Gebackener Feta mit Kartoffelecken und Quark;34;Klassisch;863;79,8;37,0;46,3;true;false
Tomatensalat 1kg Tomaten mit 2 Mozzarella Light;35;Salat;885;35,0;61,2;51,0;true;false
Halloumi-Burger (ganzer Halloumi);36;Fast Food;1010;49,7;52,4;65,4;true;false
Nudelsuppe mit Bockwurst und Brot;37;One-Pot;311;56,5;11,2;4,2;false;false
Bistro Baguette;38;Fertiggericht;580;72,5;21,3;21,3;true;false
Reispfanne;39;Klassisch;863;109,8;32,7;31,4;true;true
Pizza selbstgemacht;40;Fast Food;1289;126,1;55,9;56,7;true;true
Pizzabrötchen;41;Fast Food;777;64,0;37,9;38,9;true;true
3 Sandwichs;42;Fast Food;984;98,2;47,6;41,3;true;true
Kartoffelecken, Lachsfilet und Spinat;43;Klassisch;536;45,3;35,3;21,5;false;false
Spinat-Käse-Suppe;44;One-Pot;601;28,3;37,7;35,0;true;false
Kartoffelgratin mit Bratwurst und Bohnen;45;Klassisch;802;38,1;28,1;56,7;false;false
Pizza Ristorante (typisch);46;Fertiggericht;846;82,0;28,0;43,0;true;false
Nudelsalat mit jagdwurst (Riesenportion);47;Klassisch;1039;126,5;22,7;46,8;false;false
Pizza Pöhlde;48;Fast Food;1100;110,0;49,5;55,0;true;false
Hähnchengeschnetzeltes mit Reis und Paprika;49;Klassisch;601;95,2;47,1;6,2;false;false
Bihunsuppe;50;Fertiggericht;172;22,0;8,0;5,6;false;false
Wraps mit Chilifüllung;51;Fast Food;352;38,0;18,0;14,0;false;false
Rustipani;52;Fertiggericht;398;57,6;17,8;10,3;false;false
Hackbällchen Toskana;53;Klassisch;466;10,9;31,2;33,5;false;false
Nudeln mit Ketchup-Soße;54;Klassisch;485;66,7;21,3;15,6;false;false
Frischkäse-Kartoffeltaschen und Hähnchen Cordon Bleu;55;Klassisch;502;47,2;41,5;15,7;false;false
Krautgulasch mit Kartoffeln;56;Klassisch;514;57,5;30,8;16,2;false;false
Nudel-Schinken-Gratin;57;Auflauf;518;49,2;26,3;23,7;false;false
Hackfleisch-Käse-Lauch-Suppe;58;One-Pot;519;42,0;10,8;33,6;false;false
Frühlingsrollen mit Huhn und gebratene Asia-Nudeln;59;Klassisch;523;51,4;15,6;36,5;false;false
Spaghetti Carbonara;60;Klassisch;524;76,0;22,8;13,2;false;false
Spaghetti Bolognese;61;Klassisch;525;73,8;26,2;13,0;false;false
Gebratene Nudeln mit Schinken und Ei;62;Klassisch;531;72,3;32,6;11,7;false;false
Lahmacun Hähnchen;63;Fast Food;550;66,5;38,5;8,8;false;false
Kartoffelspalten mit Puten-Bifteki und Quark;64;Klassisch;550;39,1;47,7;20,3;false;false
Bauerntopf mit Hackfleisch;65;One-Pot;552;36,8;29,2;30,0;false;false
Kartoffelsalat mit Gehacktes-Klößchen;66;Klassisch;572;38,0;27,4;33,2;false;false
Kartoffelgratin mit Wiener Schnitzel;67;Klassisch;580;58,9;31,4;22,5;false;false
Kartoffel-Hackfleisch-Auflauf;68;Auflauf;584;28,0;34,8;36,8;false;false
Tacosalat;69;Klassisch;596;44,3;26,4;33,1;false;false
Lasagne Bolognese;70;Auflauf;599;52,3;28,5;29,9;false;false
Spaghetti mit Hackbällchen-Tomatensoße;71;Klassisch;608;60,3;31,5;25,6;false;false
Schwartenwurstsoße mit Kartoffeln;72;Klassisch;613;58,1;27,3;28,8;false;false
Kartoffel-Hack-Gratin mit Paprika;73;Auflauf;614;37,9;34,4;34,7;false;false
Grilled Cheese Sandwich with Bacon and Eggs;74;Fast Food;622;21,5;35,1;43,7;false;false
Kartoffelbrei mit Gehacktes-Klößchen;75;Klassisch;623;43,5;36,2;41,1;false;false
Spaghettisalat mit Hähnchenbrustfilet und Gurkensalat;76;Klassisch;624;59,1;40,8;23,0;false;false
Nudeln mit Puten-Geschnetzeltem und Salat;77;Klassisch;625;54,4;41,2;16,4;false;false
Spaghetti Bolognese Tacos;78;Fast Food;651;61,9;26,5;32,5;false;false
Pommes mit Chicken Wings und Mayo;79;Fast Food;653;32,1;33,6;42,6;false;false
Enchiladas;80;Klassisch;664;51,3;33,4;35,2;false;false
Ofenbällchen mit Gouda mit Reis;81;Klassisch;670;45,7;37,3;37,5;false;false
Chili con Carne mit Baguette;82;Klassisch;675;71,7;34,4;25,6;false;false
Dominos Pizza Teriyaki;83;Fast Food;745;104,5;41,2;17,2;false;false
Puten-Hacksteaks mit Kartoffelspalten und Quark;84;Klassisch;745;69,6;30,7;36,1;false;false
Pommes mit Hähnchensteak und Weißkraut;85;Klassisch;747;68,7;68,9;19,6;false;false
Gyros im Fladenbrot mit Weißkraut und Zaziki;86;Klassisch;758;73,8;52,3;26,9;false;false
Schinken-Hack-Röllchen mit Kroketten und Remoulade;87;Klassisch;761;43,3;33,0;49,7;false;false
Hähnchenschenkel mit Pommes, Mayo und Salat;88;Klassisch;764;32,0;33,2;54,6;false;false
Nudeln mit gebratenem Leberkäse;89;Klassisch;792;77,5;22,0;37,9;false;false
Hähnchen Cordon Bleu mit Pommes;90;Klassisch;798;85,7;38,1;31,7;false;false
Fertig XXL Lasagne (Penny);91;Fertiggericht;819;62,6;35,7;45,9;false;false
Großer Dönerteller mit Pommes und Salat;92;Fast Food;820;63,2;34,8;47,6;false;false
Kräuter-Sahne-Hähnchen mit Kartoffelspalten und Quark;93;Klassisch;858;63,3;61,8;37,7;false;false
Nudelsalat mit Wiener Würstchen;94;Klassisch;909;56,3;35,7;58,3;false;false
McMenü Burger,Pommes, Mayo, Cola;95;Fast Food;1413;128,7;47,7;77,5;false;false
